subject,predicate,object
kwg-ont:S2Cell,sosa:isFeatureOfInterestOf,kwg-ont:CroplandObservationCollection
kwg-ont:S2Cell,sosa:isFeatureOfInterestOf,kwg-ont:DroughtZoneOverlapObservationCollection
kwg-ont:FEMADisaster,kwg-ont:hasProgram,kwg-ont:Program
kwg-ont:StormTracklet,rdfs:subClassOf,geo:Feature
kwg-ont:AirQualityObservation,kwg-ont:dailyAQIValue,rdfs:literal
kwg-ont:GeometryCollection,kwg-ont:hasGeometryMember,geo:Feature
kwg-ont:SoilMapUnit,rdfs:subClassOf,sosa:FeatureOfInterest
kwg-ont:NOAAHazardEvent,kwg-ont:hasTemporalScope,time:TemporalEntity
time:TemporalEntity,time:hasBeginning,time:Instant
kwg-ont:Declaration,kwg-ont:designatedArea,rdfs:literal
kwg-ont:Declaration,kwg-ont:hasDeclarationID,rdfs:literal
kwg-ont:Declaration,kwg-ont:hasDeclarationRequestNo,rdfs:literal
kwg-ont:Declaration,kwg-ont:hasDeclarationTitle,rdfs:literal
kwg-ont:Declaration,kwg-ont:hasDisasterNumber,rdfs:literal
kwg-ont:Declaration,kwg-ont:isHMProgramDeclared,rdfs:literal
kwg-ont:Declaration,kwg-ont:isIAProgramDeclared,rdfs:literal
kwg-ont:Declaration,kwg-ont:isIHProgramDeclared,rdfs:literal
kwg-ont:Declaration,kwg-ont:isPAProgramDeclared,rdfs:literal
kwg-ont:ClimateObservation,kwg-ont:timeScale,time:Duration
kwg-ont:Hospital,geo:hasGeometry,geo:Geometry
kwg-ont:Hospital,geo:hasDefaultGeometry,geo:Geometry
kwgr:nifcFireUnknownCause,rdfs:subClassOf,kwg-ont:FireCause
kwgr:nifcFireHumanCause,rdfs:subClassOf,kwg-ont:FireCause
kwgr:nifcFireUndeterminedCause,rdfs:subClassOf,kwg-ont:FireCause
kwgr:nifcFireNaturalCause,rdfs:subClassOf,kwg-ont:FireCause
kwg-ont:NIFCFire,rdfs:subClassOf,sosa:FeatureOfInterest
kwg-ont:MTBSOutOfAreaResponseFire,rdfs:subClassOf,kwg-ont:OutOfAreaResponseFire
gnis:County,rdfs:subClassOf,usgs:Division
kwg-ont:Declaration,kwg-ont:hasDeclarationTitle,rdfs:literal
kwg-ont:DebrisRemoval-PA-A,rdfs:subClassOf,kwg-ont:PublicAssistance
kwg-ont:ProtectiveMeasures-PA-B,rdfs:subClassOf,kwg-ont:PublicAssistance
kwg-ont:IndividualAssistance-PA-C,rdfs:subClassOf,kwg-ont:PublicAssistance
kwg-ont:RoadsAndBridges-PA-D,rdfs:subClassOf,kwg-ont:PublicAssistance
kwg-ont:WaterControlFacilities-PA-E,rdfs:subClassOf,kwg-ont:PublicAssistance
kwg-ont:StormTrackletObservationCollection,sosa:phenomenonTime,time:Instant
kwg-ont:Earthquake,kwg-ont:hasTemporalScope,time:Instant
kwg-ont:AirQualitySite,geo:hasGeometry,geo:Geometry
kwg-ont:AirQualitySite,geo:hasDefaultGeometry,geo:Geometry
